,dest_lat,dest_lon,est,fromtract,line_no,origi_lat,origi_lon,std_err,totract
1859,42.344438800000,-71.084443200000,70,25025050700,1,42.37536210000,-71.03328150000,46,25025010500
1860,42.344438800000,-71.084443200000,70,25025050700,10,42.37536210000,-71.03328150000,46,25025010500
1861,42.347642200000,-71.079374500000,20,25025050700,1,42.37536210000,-71.03328150000,17,25025010600
1862,42.347642200000,-71.079374500000,10,25025050700,6,42.37536210000,-71.03328150000,9,25025010600
1863,42.347642200000,-71.079374500000,10,25025050700,10,42.37536210000,-71.03328150000,14,25025010600
1864,42.349719900000,-71.083878400000,35,25025050700,1,42.37536210000,-71.03328150000,29,25025010701
1865,42.349719900000,-71.083878400000,35,25025050700,10,42.37536210000,-71.03328150000,29,25025010701
1866,42.351838300000,-71.075513100000,60,25025050700,1,42.37536210000,-71.03328150000,33,25025010702
1867,42.351838300000,-71.075513100000,25,25025050700,2,42.37536210000,-71.03328150000,24,25025010702
1868,42.351838300000,-71.075513100000,15,25025050700,10,42.37536210000,-71.03328150000,19,25025010702
1869,42.351838300000,-71.075513100000,15,25025050700,14,42.37536210000,-71.03328150000,18,25025010702
1870,42.351514400000,-71.085679800000,10,25025050700,1,42.37536210000,-71.03328150000,17,25025010802
1871,42.351514400000,-71.085679800000,10,25025050700,2,42.37536210000,-71.03328150000,17,25025010802
1872,42.357709600000,-71.069420800000,10,25025050700,1,42.37536210000,-71.03328150000,12,25025020101
1873,42.357709600000,-71.069420800000,10,25025050700,5,42.37536210000,-71.03328150000,12,25025020101
1874,42.360337100000,-71.068648100000,40,25025050700,1,42.37536210000,-71.03328150000,30,25025020200
1875,42.360337100000,-71.068648100000,40,25025050700,10,42.37536210000,-71.03328150000,30,25025020200
1876,42.363173600000,-71.068646400000,95,25025050700,1,42.37536210000,-71.03328150000,45,25025020301
1877,42.363173600000,-71.068646400000,20,25025050700,4,42.37536210000,-71.03328150000,20,25025020301
1878,42.363173600000,-71.068646400000,75,25025050700,10,42.37536210000,-71.03328150000,40,25025020301
1879,42.365938000000,-71.063567300000,60,25025050700,1,42.37536210000,-71.03328150000,41,25025020303
1880,42.365938000000,-71.063567300000,60,25025050700,10,42.37536210000,-71.03328150000,41,25025020303
1881,42.359979900000,-71.053226800000,10,25025050700,1,42.37536210000,-71.03328150000,10,25025030300
1882,42.359979900000,-71.053226800000,10,25025050700,10,42.37536210000,-71.03328150000,10,25025030300
1883,42.364401100000,-71.054213000000,40,25025050700,1,42.37536210000,-71.03328150000,37,25025030400
1884,42.364401100000,-71.054213000000,40,25025050700,10,42.37536210000,-71.03328150000,37,25025030400
1885,42.377577800000,-71.035757700000,15,25025050700,1,42.37536210000,-71.03328150000,18,25025050200
1886,42.377577800000,-71.035757700000,15,25025050700,8,42.37536210000,-71.03328150000,18,25025050200
1887,42.369776600000,-71.033910400000,30,25025050700,1,42.37536210000,-71.03328150000,22,25025050500
1888,42.369776600000,-71.033910400000,10,25025050700,2,42.37536210000,-71.03328150000,9,25025050500
1889,42.369776600000,-71.033910400000,20,25025050700,5,42.37536210000,-71.03328150000,18,25025050500
1890,42.371886400000,-71.037269400000,80,25025050700,1,42.37536210000,-71.03328150000,47,25025050600
1891,42.371886400000,-71.037269400000,20,25025050700,2,42.37536210000,-71.03328150000,20,25025050600
1892,42.371886400000,-71.037269400000,25,25025050700,3,42.37536210000,-71.03328150000,25,25025050600
1893,42.371886400000,-71.037269400000,35,25025050700,14,42.37536210000,-71.03328150000,25,25025050600
1894,42.375362100000,-71.033281500000,110,25025050700,1,42.37536210000,-71.03328150000,77,25025050700
1895,42.375362100000,-71.033281500000,100,25025050700,2,42.37536210000,-71.03328150000,76,25025050700
1896,42.375362100000,-71.033281500000,10,25025050700,18,42.37536210000,-71.03328150000,9,25025050700
1897,42.381936800000,-71.029500100000,55,25025050700,1,42.37536210000,-71.03328150000,34,25025050901
1898,42.381936800000,-71.029500100000,10,25025050700,2,42.37536210000,-71.03328150000,9,25025050901
1899,42.381936800000,-71.029500100000,50,25025050700,14,42.37536210000,-71.03328150000,34,25025050901
1900,42.387302700000,-71.016127100000,10,25025050700,1,42.37536210000,-71.03328150000,8,25025051000
1901,42.387302700000,-71.016127100000,10,25025050700,8,42.37536210000,-71.03328150000,8,25025051000
1902,42.336868600000,-71.038213300000,25,25025050700,1,42.37536210000,-71.03328150000,22,25025060501
1903,42.336868600000,-71.038213300000,25,25025050700,2,42.37536210000,-71.03328150000,22,25025060501
1904,42.349571100000,-71.042282200000,40,25025050700,1,42.37536210000,-71.03328150000,23,25025060600
1905,42.349571100000,-71.042282200000,10,25025050700,2,42.37536210000,-71.03328150000,8,25025060600
1906,42.349571100000,-71.042282200000,30,25025050700,10,42.37536210000,-71.03328150000,21,25025060600
1907,42.339739100000,-71.056754300000,55,25025050700,1,42.37536210000,-71.03328150000,45,25025061200
1908,42.339739100000,-71.056754300000,45,25025050700,6,42.37536210000,-71.03328150000,45,25025061200
1909,42.339739100000,-71.056754300000,10,25025050700,8,42.37536210000,-71.03328150000,12,25025061200
